run,arch,dataset,seed,train_sigma,eval_sigma,translation_frac,rotation_deg,scale_frac,epochs,res,batch_size,train_count,val_count,final_val_mae,final_val_psnr,final_val_ssim,final_val_corr,final_theta_l2,final_flow_l2,final_flow_tv,final_warp_rgb_mae,final_uncertainty,delta_vs_no_registration,knox_path
week3_no_registration_ann_arbor_sigma03_amp_seed42,no_registration,ann_arbor,42,0.3,0.3,0.20,20.0,0.25,30,256,6,336,41,0.102214,15.885792,0.546842,0.802746,0.000000,0.000000,0.000000,,0.000000,0.000000,week3_runs/week3_no_registration_ann_arbor_sigma03_amp_seed42
week3_reg_shared_rgb_ann_arbor_sigma03_amp_seed42,shared_rgb_feature_affine,ann_arbor,42,0.3,0.3,0.20,20.0,0.25,30,256,6,336,41,0.102832,15.813971,0.549339,0.804655,0.036047,0.000000,0.000000,,0.921804,-0.071821,week3_runs/week3_reg_shared_rgb_ann_arbor_sigma03_amp_seed42
week4_input_rgb_affine_ann_arbor_sigma03_amp_seed42,input_rgb_affine,ann_arbor,42,0.3,0.3,0.20,20.0,0.25,30,256,6,336,41,0.102086,15.771725,0.547865,0.803186,0.013047,0.000000,0.000000,,0.623591,-0.114067,week4_runs/week4_input_rgb_affine_ann_arbor_sigma03_amp_seed42
week4_input_rgb_flow_ann_arbor_sigma03_amp_seed42,input_rgb_flow,ann_arbor,42,0.3,0.3,0.20,20.0,0.25,30,256,6,336,41,0.105289,15.546781,0.542301,0.790272,0.000000,0.006560,0.000976,,0.669944,-0.339011,week4_runs/week4_input_rgb_flow_ann_arbor_sigma03_amp_seed42
week4_input_rgb_flow_edge1_ann_arbor_sigma03_amp_seed42,input_rgb_flow_edge1,ann_arbor,42,0.3,0.3,0.20,20.0,0.25,30,256,6,336,41,0.107046,15.383972,0.540566,0.782303,0.000000,0.021392,0.005322,,0.562732,-0.501819,week4_runs/week4_input_rgb_flow_edge1_ann_arbor_sigma03_amp_seed42
week4_input_rgb_affine_warprgb1_ann_arbor_sigma03_amp_seed42,input_rgb_affine_warp_rgb_supervised,ann_arbor,42,0.3,0.3,0.20,20.0,0.25,30,256,6,336,41,0.095373,16.199063,0.557144,0.820483,0.037569,0.000000,0.000000,0.106369,0.554220,0.313271,week4_runs/week4_input_rgb_affine_warprgb1_ann_arbor_sigma03_amp_seed42
week4_no_registration_ann_arbor_sigma03_amp_seed7,no_registration,ann_arbor,7,0.3,0.3,0.20,20.0,0.25,30,256,6,336,41,0.098159,16.172254,0.553547,0.813542,0.000000,0.000000,0.000000,0.156012,0.000000,0.000000,week4_runs/week4_no_registration_ann_arbor_sigma03_amp_seed7
week4_input_rgb_affine_warprgb1_ann_arbor_sigma03_amp_seed7,input_rgb_affine_warp_rgb_supervised,ann_arbor,7,0.3,0.3,0.20,20.0,0.25,30,256,6,336,41,0.094613,16.348793,0.560780,0.825539,0.039637,0.000000,0.000000,0.099238,0.562737,0.176540,week4_runs/week4_input_rgb_affine_warprgb1_ann_arbor_sigma03_amp_seed7
week4_no_registration_ann_arbor_sigma03_amp_seed123,no_registration,ann_arbor,123,0.3,0.3,0.20,20.0,0.25,30,256,6,336,41,0.104369,15.765079,0.544165,0.794190,0.000000,0.000000,0.000000,0.151290,0.000000,0.000000,week4_runs/week4_no_registration_ann_arbor_sigma03_amp_seed123
week4_input_rgb_affine_warprgb1_ann_arbor_sigma03_amp_seed123,input_rgb_affine_warp_rgb_supervised,ann_arbor,123,0.3,0.3,0.20,20.0,0.25,30,256,6,336,41,0.095890,16.202250,0.557932,0.816266,0.037604,0.000000,0.000000,0.098104,0.585559,0.437171,week4_runs/week4_input_rgb_affine_warprgb1_ann_arbor_sigma03_amp_seed123
week4_no_registration_kust4k_sigma03_amp_seed42_e20,no_registration,kust4k,42,0.3,0.3,0.20,20.0,0.25,20,256,8,1970,283,0.088095,19.030669,0.668907,0.752845,0.000000,0.000000,0.000000,0.088775,0.000000,0.000000,week4_runs/week4_no_registration_kust4k_sigma03_amp_seed42_e20
week4_input_rgb_affine_warprgb1_kust4k_sigma03_amp_seed42_e20,input_rgb_affine_warp_rgb_supervised,kust4k,42,0.3,0.3,0.20,20.0,0.25,20,256,8,1970,283,0.086426,19.177714,0.671745,0.756909,0.039211,0.000000,0.000000,0.057382,0.198893,0.147045,week4_runs/week4_input_rgb_affine_warprgb1_kust4k_sigma03_amp_seed42_e20
week4_no_registration_caltech_cart_sigma03_amp_seed42_e20,no_registration,caltech_cart,42,0.3,0.3,0.20,20.0,0.25,20,256,8,1822,222,0.087007,20.067762,0.708316,0.773044,0.000000,0.000000,0.000000,0.088836,0.000000,0.000000,week4_runs/week4_no_registration_caltech_cart_sigma03_amp_seed42_e20
week4_input_rgb_affine_warprgb1_caltech_cart_sigma03_amp_seed42_e20,input_rgb_affine_warp_rgb_supervised,caltech_cart,42,0.3,0.3,0.20,20.0,0.25,20,256,8,1822,222,0.076334,21.264040,0.723206,0.823842,0.039176,0.000000,0.000000,0.058200,0.115479,1.196279,week4_runs/week4_input_rgb_affine_warprgb1_caltech_cart_sigma03_amp_seed42_e20
